,Date,Location,Dead,Injured,Total,Description,State,Year
42,"January 25, 1993","Langley, Virginia",2,3,5,CIA Headquarters shooting: A Pakistani national fired an AK-47 style weapon at a line of cars waiting at a red light to turn into the main entrance of the CIA Headquarters. He was captured in 1997.[258], Virginia,1993
43,"January 8, 1993","Palatine, Illinois",7,0,7,Brown's Chicken Massacre: Two robbers entered a Brown's Chicken restaurant and murdered seven employees. The two were arrested and convicted in 2007 and 2009.[259], Illinois,1993
44,"December 14, 1992","Great Barrington, Massachusetts",2,4,6,"1992 Bard College at Simon's Rock shooting: The perpetrator, Wayne Lo, had been stockpiling ammunition and weapons in his dorm, and after several alarms had been raised by third parties, he opened fire and killed a professor and student and wounded four others.[260]", Massachusetts,1992
45,"June 20, 1992","Houston, Texas",4,2,6,Brownstone Lane murders: Three men fatally shot four people and wounded two others during a drug deal gone wrong.[261], Texas,1992
46,"May 1, 1992","Olivehurst, California",4,10,14,"1992 Lindhurst High School shooting: A 20-year-old past student opened fire on a classroom and killed four people, wounded ten others, and held eighty people hostage during an eight-hour siege before he surrendered.", California,1992
47,"December 6, 1991","Austin, Texas",4,0,4,"1991 Austin Yogurt Shop murders: Four teenage girls aged; 13, 15, 17, and 17-years-old were shot and killed execution style after being stripped and bound with their own clothes, the store was also robbed and set on fire.[262]", Texas,1991
48,"November 14, 1991","Royal Oak, Michigan",5,7,12,"Royal Oak post office shootings: A former postal worker, who had been fired and had previously sent threats to the post office, shot eight people, killing four, before killing himself. Three others were injured escaping or hiding from the gunman.", Michigan,1991
49,"November 1, 1991","Iowa City, Iowa",6,1,7,University of Iowa shooting: A former graduate student attended a meeting for a research group before opening fire and killed five individuals and injured one before committing suicide., Iowa,1991
50,"October 16, 1991","Killeen, Texas",24,27,51,"Killeen, Texas, Luby's Restaurant shooting: A former Merchant Marine drove his vehicle through the front window of the restaurant before opening fire on a crowd of about eighty people, killing twenty-three and injuring twenty-seven. He then committed suicide.", Texas,1991
51,"September 2, 1991","Youngstown, Ohio",4,0,4,"1991 Youngstown shooting: A man, accompanied by three accomplices, tied up four people and shot them execution-style.[263]", Ohio,1991
52,"August 9–10, 1991","Waddell, Arizona",9,0,9,"Arizona Buddhist Temple shooting: Nine men were robbed and killed in a Buddhist temple, with the perpetrator remaining un-convicted until 2014.[264]", Arizona,1991
53,"June 16, 1991","Denver, Colorado",4,0,4,"Father's Day Bank Massacre: A bank robber killed four unarmed guards during a robbery. A retired police officer was arrested for the crime, but he was acquitted. The case remains officially unsolved.", Colorado,1991
54,"April 4, 1991","Sacramento County, California",6,14[n 27],20,"Sacramento Hostage Crisis: For eight hours forty-one people were held hostage inside an electronics store, by four Vietnamese refugees who killed three and injured 14. Three of the four perpetrators were shot and killed by responding police.[265]", California,1991
55,"January 12, 1991","Boston, Massachusetts",5,1,6,"Boston Chinatown massacre: Six men were shot, five fatally, in a gang-related shooting at a social club.[266]", Massachusetts,1991
56,"September 28, 1990","Berkeley, California",2,7,9,"Henry's Pub hostage incident: A schizophrenic man held 33 hostages in a bar near the University of California, Berkeley campus. After seven hours police stormed the bar, and in the siege the gunman and a hostage were killed, and six students and a police officer were wounded.[267]", California,1990
57,"June 17–18, 1990","Jacksonville, Florida",9,4,13,"GMAC Office shooting: A convicted felon returned to the loan office he had used to purchase a car and opened fire, killing nine people and injuring four before committing suicide.", Florida,1990
58,"February 10, 1990","Las Cruces, New Mexico",5,2,7,Las Cruces bowling alley massacre: Two unknown perpetrators entered the bowling alley and killed four people and injured three before fleeing. One of the injured died in 1999. The case is still unsolved., New Mexico,1990
0,"November 29, 2009","Parkland, Washington",5,0,5,2009 Lakewood shooting: A man killed four police officers at a coffee shop and fled the scene with a gunshot wound. He was killed by police two days later.[200], Washington,2009
1,"November 26, 2009","Jupiter, Florida",4,1,5,"2009 Thanksgiving murders: A man opened fire at his family's Thanksgiving dinner, killing four relatives and wounding another. He was arrested in January 2010.[201]", Florida,2009
2,"November 20, 2009","Saipan, Northern Mariana Islands",5,9,14,"2009 Saipan shooting: A gunman shot at people throughout Saipan, before committing suicide at the edge of a cliff.[202]", Northern Mariana Islands,2009
3,"November 12, 2009","Pearcy, Arkansas",5,0,5,Pearcy murders: Three men killed five people in two robberies on the same property.[203], Arkansas,2009
4,"November 5, 2009","Fort Hood, Texas",14,33[n 1],47,2009 Fort Hood shooting: A U.S. army psychiatrist opened fire and killed thirteen individuals and injured 33 others., Texas,2009
5,"October 17, 2009","Toa Baja, Puerto Rico",8,20,28,2009 Sabana Seca massacre: Eight people were killed and twenty others were wounded after multiple gunmen opened fire at a bar., Puerto Rico,2009
6,"August 4, 2009","Collier Township, Pennsylvania",4,9,13,"2009 Collier Township shooting: A man entered a woman's aerobics class and opened fire, killing three people and injuring nine before committing suicide.[204]", Pennsylvania,2009
7,"April 4, 2009","Pittsburgh, Pennsylvania",3,3[n 1],6,"2009 shooting of Pittsburgh police officers: A man opened fire on police officers responding to a domestic violence 9-1-1 call, killing three and injuring two before he was arrested.[205]", Pennsylvania,2009
8,"April 3, 2009","Binghamton, New York",14,4,18,"Binghamton shooting: A man shot and killed thirteen people at a civic center in Binghamton, New York, before committing suicide.", New York,2009
